,SMILES,lambda_max_exp_nm,solvent,reference,description,mol_wt,abs_max_ev
0,c1cc[nH]c1,206,hexane,photochemCAD,pyrrole,67.04219916,6.019
1,c1ccncc1,251,acetonitrile,photochemCAD,pyridine,79.04219916,4.94
2,c1ncncn1,270,ethanol,photochemCAD,"1,3,5-triazine",81.0326971,4.592
3,Cc1ccccc1,261.75,cyclohexane,photochemCAD,toluene,92.06260026,4.737
4,Nc1ccccc1,288,cyclohexane,photochemCAD,aniline,93.05784922,4.305
5,Oc1ccccc1,270.75,cyclohexane,photochemCAD,phenol,94.04186481,4.579
6,O=Cc1ccc[nH]1,278,hexane,photochemCAD,pyrrole-2-carboxaldehyde,95.03711378,4.46
7,N#Cc1ccccc1,270,cyclohexane,photochemCAD,benzonitrile,103.0421992,4.592
8,C=Cc1ccccc1,248,cyclohexane,photochemCAD,styrene,104.0626003,4.999
9,O=Cc1ccccc1,242,cyclohexane,photochemCAD,benzaldehyde,106.0418648,5.123
10,Cc1ccccc1C,263,cyclohexane,photochemCAD,o-xylene,106.0782503,4.714
11,Cc1ccc(C)cc1,275,cyclohexane,photochemCAD,p-xylene,106.0782503,4.509
12,Nc1ccc(N)cc1,251,acetonitrile,photochemCAD,p-phenylenediamine,108.0687483,4.94
13,Oc1ccc(O)cc1,225,acetonitrile,photochemCAD,Hydroquinone,110.0367794,5.51
14,Clc1ccccc1,265,cyclohexane,photochemCAD,chlorobenzene,112.0079778,4.679
15,c1ccc2n[nH]nc2c1,253,ethanol,photochemCAD,benzotriazole,119.0483472,4.901
16,CC(=O)c1ccccn1,227,cyclohexane,photochemCAD,2-acetylpyridine,121.0527638,5.462
17,CN(C)c1ccccc1,251,cyclohexane,photochemCAD,"N,N-dimethyl-aniline",121.0891494,4.94
18,O=C(O)c1ccccc1,227,methanol,photochemCAD,benzoic acid,122.0367794,5.462
19,CN(C)c1ccncc1,257,acetonitrile,photochemCAD,4-dimethylaminopyridine,122.0843983,4.824
20,O=[N+]([O-])c1ccccc1,258,ethanol,photochemCAD,nitrobenzene,123.0320284,4.806
21,Cc1cc(=O)[nH]c(=O)[nH]1,259,ethanol,photochemCAD,"2,4-dihydroxy-6-methylpyrimidine",126.0429274,4.787
22,C#Cc1ccc(C#C)cc1,274,chloroform,photochemCAD,"1,4-diethynylbenzene",126.0469502,4.525
23,N#CC(C#N)=C(C#N)C#N,267,chloroform,photochemCAD,tetracyanoethylene,128.012296,4.644
24,c1ccc2ccccc2c1,275,cyclohexane,photochemCAD,naphthalene,128.0626003,4.509
25,O=CC#Cc1ccccc1,277,ethanol,photochemCAD,phenylpropargyl aldehyde,130.0418648,4.476
26,Cc1nc2ccccc2o1,231.75,cyclohexane,photochemCAD,2-methylbenzoxazole,133.0527638,5.35
27,Cc1cc(C)c(C)cc1C,278,cyclohexane,photochemCAD,durene,134.1095504,4.46
28,c1ccc2scnc2c1,217,ethanol,photochemCAD,benzothiazole,135.0142702,5.714
29,Nc1ncnc2nc[nH]c12,261,water,photochemCAD,adenine,135.0544952,4.75
30,Nc1ccc2ccccc2c1,239,acetonitrile,photochemCAD,2-aminonaphthalene,143.0734993,5.188
31,O=c1ccc2ccccc2o1,275,ethanol,photochemCAD,coumarin,146.0367794,4.509
32,O=C1NC(=O)c2ccccc21,215,ethanol,photochemCAD,phthalimide,147.0320284,5.767
33,COc1cc(C=O)ccc1O,222,cyclohexane,photochemCAD,vanillin,152.0473441,5.585
34,c1ccc(-c2ccccc2)cc1,247.5,cyclohexane,photochemCAD,biphenyl,154.0782503,5.009
35,c1ccc(-c2ccccn2)nc1,281,acetonitrile,photochemCAD,"2,2'-bipyridine",156.0687483,4.412
36,O=C1C=Cc2ccccc2C1=O,249,methanol,photochemCAD,"1,2-Naphthoquinone",158.0367794,4.979
37,O=C1C=CC(=O)c2ccccc21,246,ethanol,photochemCAD,"1,4-naphthoquinone",158.0367794,5.04
38,Nc1cc2ccccc2cc1N,245,methanol,photochemCAD,"2,3-diaminonaphthalene",158.0843983,5.061
39,O=c1ccc2ccc(O)cc2o1,326,ethanol,photochemCAD,7-Hydroxycoumarin,162.0316941,3.803
40,O=c1cc(O)c2ccccc2o1,280,ethanol,photochemCAD,4-Hydroxycoumarin,162.0316941,4.428
41,CC1=C(C)C(=O)C(C)=C(C)C1=O,270,acetonitrile,photochemCAD,"2,3,5,6-tetramethyl-1,4-benzoquinone",164.0837296,4.592
42,CC1=CC(=O)c2ccccc2C1=O,251,ethanol,photochemCAD,"2-methyl-1,4-naphthoquinone",172.0524295,4.94
43,O=C(O)c1cccc2cccnc12,219,ethanol,photochemCAD,8-quinoline-carboxylic-acid,173.0476785,5.661
44,Cc1cc(=O)[nH]c2cc(N)ccc12,219,water,photochemCAD,carbostyril 124,174.0793129,5.661
45,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,265,water,photochemCAD,L-ascorbic acid,176.032088,4.679
46,C(#Cc1ccccc1)c1ccccc1,278.75,ethanol,photochemCAD,"1,2-diphenylacetylene",178.0782503,4.448
47,c1ccc2nc3ccccc3cc2c1,356,ethanol,photochemCAD,acridine,179.0734993,3.483
48,c1ccc2nc3ccccc3nc2c1,248,ethanol,photochemCAD,phenazine,180.0687483,4.999
49,C(=C/c1ccccc1)\c1ccccc1,293.75,hexane,photochemCAD,trans-stilbene,180.0939004,4.221
