,SMILES,lambda_max_exp_nm,solvent,reference,description,mol_wt,abs_max_ev
0,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(C)cc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O,402,dichloromethane,https://doi.org/10.1016/j.saa.2013.07.073,DBtag:10679,595.2293483,3.084
1,CCCCCCCCC(=O)Oc1cc2[nH]c(cc2CCOC)c2nc(ccc3[nH]c(cc3CCOC)c3nc1C(CCOC)=C3)C(CCOC)=C2,647,toluene,https://doi.org/10.1016/S1011-1344(97)00075-4,DBtag:5685,698.4043354,1.916
2,c1ccc(N(c2ccccc2)c2ccc(-c3ccncn3)cc2)cc1,367,dichloromethane,https://doi.org/10.1016/j.dyepig.2014.05.030,DBtag:9317,323.1422475,3.378
3,O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,466,hexane,DOI: 10.1021/acs.joc.5b01987,DBtag:3426,479.2936628,2.661
4,O=C1C=CC(=O)c2ccccc21,246,ethanol,photochemCAD,"1,4-naphthoquinone",158.0367794,5.04
5,COC(=O)c1cccc2c1C#Cc1c(N)cccc1OCCCO2,363,dichloromethane,DOI: 10.1021/acs.orglett.5b03205,DBtag:7329,323.115758,3.416
6,COc1cc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)nc(N)c23)cc(OC)c1OC,422,benzene,https://doi.org/10.1016/S1386-1425(01)00616-3,DBtag:4826,495.2270398,2.938
7,c1ccc(-c2cnc(-c3ccccc3)o2)cc1,302.75,cyclohexane,photochemCAD,"2,5-diphenyloxazole",221.084064,4.095
8,CCCCCCCCOC(=O)c1ccc(-c2cc3ccc4cc(-c5ccc(C(=O)OCCCCCCCC)cc5)cc5ccc(c2)c3c45)cc1,404,toluene,http://dx.doi.org/10.1021/ja2006862,DBtag:8389,666.3709101,3.069
9,CCOC(=O)c1c2c3c(ccc(OC)c3c3cc4ccccc4cc13)N(C)C2=O,406,acetonitrile,https://doi.org/10.1016/j.tet.2019.130638,DBtag:13168,385.1314081,3.054
10,COc1ccc(-c2cnc(/C=C/c3ccc(OC)c(OC)c3)o2)cc1,360,dichloromethane,https://doi.org/10.1016/j.tetlet.2013.04.037,DBtag:11691,337.1314081,3.444
11,CCC1(CC)c2ccccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(-c4cccs4)ccc2-3)C(CC)(CC)c2cc(N(c3ccccc3)c3ccccc3)ccc2-1,355,tetrahydrofuran,doi:10.1016/j.dyepig.2012.04.008,DBtag:9642,759.3898717,3.493
12,Cc1ccc(/C=N/CC/N=C/c2ccc(C)cc2)cc1,246,dichloromethane,set-ref-3,4-m'bzen,264.1626486,5.04
13,Cc1ccc(OCc2cc(=O)oc3c2ccc2ccccc23)cc1,354,dichloromethane,https://doi.org/10.1016/j.saa.2014.10.039,DBtag:11620,316.1099444,3.502
14,COc1ccc(-n2c(/N=N/c3nc4ccccc4s3)ccc2-c2cccs2)cc1,530,dimethylsulfoxide,set-ref-10,5b,416.0765531,2.339
15,Cc1cccc2ccccc12,293.9447384,cyclohexane,https://doi.org/10.1016/S1386-1425(02)00207-X,DBtag:4475,142.0782503,4.218
16,Cc1ccc(C2C3=C(CCCC3=O)Nc3c2c(=O)oc2ccccc32)cc1,366,dimethylsulfoxide,DOI: 10.1039/c6ra05996a,DBtag:3377,357.1364935,3.388
17,CCn1c2ccccc2c2ccc(C#N)cc21,366,cyclohexane,10.1007/BF00723901,DBtag:3583,220.1000484,3.388
18,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([nH]4)c(-c4ccco4)c4nc(c(-c5ccc(C)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,423,dichloromethane,https://doi.org/10.1016/j.cplett.2007.10.005,DBtag:10038,646.2732617,2.931
19,c1csc(-n2c3ccccc3c3ccccc32)c1,333,dichloromethane,http://dx.doi.org/10.1021/jo202625p,DBtag:8142,249.0612204,3.723
20,N#Cc1ccc(N)c2nonc12,430,ethanol,DOI: 10.1021/acs.joc.7b00939,DBtag:2762,160.0385107,2.883
21,CCCN1c2ccccc2Sc2cc(/C=C\c3cc(=O)oc4cc(NC(=O)OCC)ccc34)ccc21,422,chloroform,https://doi.org/10.1016/j.dyepig.2015.04.018,DBtag:10505,498.1613283,2.938
22,COC(=O)CCC(NC(=O)CCNc1cccc2ccccc12)C(=O)OC,330,ethanol,https://doi.org/10.1016/j.tet.2007.09.042,DBtag:11365,372.1685219,3.757
23,N#CC(C#N)=C(C#N)C#N,267,chloroform,photochemCAD,tetracyanoethylene,128.012296,4.644
24,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,313,methanol,10.1021/jp044530j,DBtag:8482,373.1379464,3.961
25,COc1ccc(-n2nc(C#N)c(N3CCCCC3)n2)cc1,340,acetonitrile,http://dx.doi.org/10.1016/j.dyepig.2016.08.015,DBtag:1598,283.1433102,3.647
26,CCN(CC)c1ccc(-c2ccc(-c3nc(N4CCOCC4)c4ccccc4n3)s2)cc1,405,toluene,DOI: 10.1016/j.mencom.2018.01.002,DBtag:10876,444.1983825,3.061
27,C(=C/c1ccc(-c2ccc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)s2)s1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,440.2214022,toluene,doi:10.1016/j.optmat.2004.02.022,DBtag:5218,700.200691,2.816
28,CCCCN1c2ccccc2Sc2cc(/C=C/C3=Nc4ccc5ccccc5c4C3(C)C)ccc21,426,dimethylsulfoxide,http://dx.doi.org/10.1016/j.saa.2016.10.045,DBtag:4456,474.21297,2.91
