,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19
E0,1.0,0.24836601307189543,0.56,0.20588235294117646,0.2204724409448819,0.17557251908396945,0.14965986394557823,0.27472527472527475,0.35428571428571426,0.1684981684981685,0.11764705882352941,0.16666666666666666,0.2608695652173913,0.21621621621621623,0.2191780821917808,0.16083916083916083,0.2903225806451613,0.23776223776223776,0.15942028985507245,0.08928571428571429
E1,0.24836601307189543,1.0,0.2064516129032258,0.2553191489361702,0.19696969696969696,0.1947565543071161,0.14473684210526316,0.1925133689839572,0.28888888888888886,0.1510791366906475,0.16822429906542055,0.1415929203539823,0.20425531914893616,0.11578947368421053,0.13245033112582782,0.11683848797250859,0.2094240837696335,0.17567567567567569,0.1958041958041958,0.14847161572052403
E2,0.56,0.2064516129032258,1.0,0.2028985507246377,0.23255813953488372,0.18181818181818182,0.1342281879194631,0.25,0.3050847457627119,0.16,0.1346153846153846,0.14545454545454545,0.25,0.20320855614973263,0.22972972972972974,0.1597222222222222,0.2872340425531915,0.27586206896551724,0.17142857142857143,0.09734513274336283
E3,0.20588235294117646,0.2553191489361702,0.2028985507246377,1.0,0.19130434782608696,0.112,0.35555555555555557,0.18823529411764706,0.3067484662576687,0.13026819923371646,0.24444444444444444,0.125,0.11926605504587157,0.15028901734104047,0.208955223880597,0.058394160583941604,0.16091954022988506,0.13740458015267176,0.1746031746031746,0.09433962264150944
E4,0.2204724409448819,0.19696969696969696,0.23255813953488372,0.19130434782608696,1.0,0.14107883817427386,0.15873015873015872,0.2236024844720497,0.23376623376623376,0.09523809523809523,0.19753086419753085,0.25287356321839083,0.14354066985645933,0.2073170731707317,0.176,0.09056603773584905,0.18181818181818182,0.2459016393442623,0.17094017094017094,0.04926108374384237
E5,0.17557251908396945,0.1947565543071161,0.18181818181818182,0.112,0.14107883817427386,1.0,0.09195402298850575,0.25,0.2422145328719723,0.3152454780361757,0.10185185185185185,0.08108108108108109,0.28488372093023256,0.14046822742474915,0.2153846153846154,0.285,0.22666666666666666,0.20233463035019456,0.19047619047619047,0.13609467455621302
E6,0.14965986394557823,0.14473684210526316,0.1342281879194631,0.35555555555555557,0.15873015873015872,0.09195402298850575,1.0,0.13259668508287292,0.20689655172413793,0.09558823529411764,0.13861386138613863,0.09345794392523364,0.09606986899563319,0.16304347826086957,0.1793103448275862,0.042105263157894736,0.0972972972972973,0.1267605633802817,0.10218978102189781,0.06278026905829596
E7,0.27472527472527475,0.1925133689839572,0.25,0.18823529411764706,0.2236024844720497,0.25,0.13259668508287292,1.0,0.2966507177033493,0.1237785016286645,0.10294117647058823,0.22535211267605634,0.19696969696969696,0.1917808219178082,0.15555555555555556,0.11875,0.21818181818181817,0.3050847457627119,0.18604651162790697,0.09302325581395349
E8,0.35428571428571426,0.28888888888888886,0.3050847457627119,0.3067484662576687,0.23376623376623376,0.2422145328719723,0.20689655172413793,0.2966507177033493,1.0,0.20666666666666667,0.17054263565891473,0.16296296296296298,0.26459143968871596,0.19811320754716982,0.2774566473988439,0.21725239616613418,0.4131455399061033,0.24705882352941178,0.23030303030303031,0.12749003984063745
E9,0.1684981684981685,0.1510791366906475,0.16,0.13026819923371646,0.09523809523809523,0.3152454780361757,0.09558823529411764,0.1237785016286645,0.20666666666666667,1.0,0.07929515418502203,0.07725321888412018,0.22535211267605634,0.1032258064516129,0.16236162361623616,0.24817518248175183,0.19292604501607716,0.14925373134328357,0.10646387832699619,0.09169054441260745
E10,0.11764705882352941,0.16822429906542055,0.1346153846153846,0.24444444444444444,0.19753086419753085,0.10185185185185185,0.13861386138613863,0.10294117647058823,0.17054263565891473,0.07929515418502203,1.0,0.16129032258064516,0.07608695652173914,0.12949640287769784,0.12,0.05,0.15714285714285714,0.14432989690721648,0.2391304347826087,0.056179775280898875
E11,0.16666666666666666,0.1415929203539823,0.14545454545454545,0.125,0.25287356321839083,0.08108108108108109,0.09345794392523364,0.22535211267605634,0.16296296296296298,0.07725321888412018,0.16129032258064516,1.0,0.09473684210526316,0.15172413793103448,0.16981132075471697,0.08130081300813008,0.136986301369863,0.34951456310679613,0.14285714285714285,0.03260869565217391
E12,0.2608695652173913,0.20425531914893616,0.25,0.11926605504587157,0.14354066985645933,0.28488372093023256,0.09606986899563319,0.19696969696969696,0.26459143968871596,0.22535211267605634,0.07608695652173914,0.09473684210526316,1.0,0.1348314606741573,0.20175438596491227,0.21195652173913043,0.27611940298507465,0.20444444444444446,0.14545454545454545,0.09803921568627451
E13,0.21621621621621623,0.11578947368421053,0.20320855614973263,0.15028901734104047,0.2073170731707317,0.14046822742474915,0.16304347826086957,0.1917808219178082,0.19811320754716982,0.1032258064516129,0.12949640287769784,0.15172413793103448,0.1348314606741573,1.0,0.20765027322404372,0.09907120743034056,0.16143497757847533,0.26666666666666666,0.14857142857142858,0.10727969348659004
